date,campaign_id,campaign_name,campaign_type,targeting_type,asin,impressions,clicks,spend,orders,sales
2026-01-01,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,4244,17,17.16,2,179.57
2026-01-01,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,2752,17,12.82,0,0.0
2026-01-01,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,0,0,0.0,0,0.0
2026-01-01,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2262,13,12.15,0,0.0
2026-01-01,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,2552,14,8.44,0,0.0
2026-01-01,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1643,10,7.25,0,0.0
2026-01-01,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,8376,24,41.11,0,0.0
2026-01-01,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,2670,7,6.66,0,0.0
2026-01-01,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,3514,25,25.37,6,440.59
2026-01-01,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,1237,5,5.3,1,97.09
2026-01-01,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,844,3,3.63,0,0.0
2026-01-01,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,2774,13,6.63,1,98.09
2026-01-02,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,4759,25,24.04,2,176.48
2026-01-02,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,1914,11,8.89,3,142.81
