order_id,order_date,order_time,order_status,fulfillment_channel,sales_channel,ship_service_level,customer_id,ship_state,ship_city,ship_postal,ship_country,currency,shipping_fee,promotion_discount,order_total
114-2180102-1932739,2025-01-01,03:36:33,Shipped,FBM,Amazon.com,Scheduled,CUST-00188,CA,Sacramento,94341,US,USD,5.79,1.97,124.13
114-3403439-7316891,2025-01-01,03:47:52,Shipped,FBA,Amazon.com,Two-Day,CUST-01126,VA,Norfolk,12954,US,USD,0.0,0.0,31.59
114-5625498-2916650,2025-01-01,17:41:08,Shipped,FBA,Amazon.com,Expedited,CUST-00259,TX,Fort Worth,74486,US,USD,0.0,0.0,110.91
114-5903912-2854303,2025-01-01,21:05:31,Shipped,FBA,Amazon.com,Two-Day,CUST-00803,MI,Grand Rapids,73176,US,USD,0.0,0.0,408.09
114-8801640-2707282,2025-01-01,15:46:51,Unshipped,FBA,Amazon.com,Standard,CUST-01191,TX,Houston,88432,US,USD,0.0,0.0,10.4
114-1996541-2988260,2025-01-02,23:42:23,Shipped,FBM,Amazon.com,Standard,CUST-00912,SC,Springfield,10070,US,USD,4.14,0.0,116.63
114-3101735-2626995,2025-01-02,10:32:24,Shipped,FBA,Amazon.com,Standard,CUST-00329,FL,Jacksonville,39170,US,USD,0.0,0.0,39.53
114-3493048-6838732,2025-01-02,11:57:39,Shipped,FBA,Amazon.com,Two-Day,CUST-01600,ND,Riverside,24770,US,USD,0.0,0.51,64.03
114-7578533-5126924,2025-01-02,05:26:04,Shipped,FBM,Amazon.com,Standard,CUST-01519,OH,Cleveland,79459,US,USD,4.21,0.0,161.02
114-8075872-1778376,2025-01-02,03:05:24,Shipped,FBA,Amazon.com,Two-Day,CUST-00261,SC,Springfield,74694,US,USD,0.0,0.0,30.93
114-2487572-2794884,2025-01-03,02:40:09,Shipped,FBM,Amazon.com,Scheduled,CUST-00111,TX,El Paso,94829,US,USD,4.97,0.0,28.51
114-5379448-9761524,2025-01-03,12:00:12,Shipped,FBA,Amazon.com,Two-Day,CUST-00361,MI,Detroit,78298,US,USD,0.0,0.0,40.21
114-9555363-4745893,2025-01-03,19:36:00,Shipped,FBA,Amazon.com,Two-Day,CUST-01298,TN,Nashville,25931,US,USD,0.0,0.0,233.13
114-2180841-8960467,2025-01-04,11:38:03,Shipped,FBA,Amazon.com,Standard,CUST-00452,CA,Los Angeles,83100,US,USD,0.0,0.0,49.84
114-2258222-2375690,2025-01-04,12:49:52,Shipped,FBA,Amazon.com,Two-Day,CUST-00686,IL,Chicago,51948,US,USD,0.0,0.0,198.92
114-2972032-1682701,2025-01-04,16:06:54,Shipped,FBA,Amazon.com,Two-Day,CUST-00994,ID,Fairview,48915,US,USD,0.0,0.0,51.57
114-3217788-7604391,2025-01-04,21:14:19,Shipped,FBM,Amazon.com,Standard,CUST-01717,OH,Cincinnati,28868,US,USD,6.09,0.0,150.51
114-3259364-8695467,2025-01-04,06:52:53,Shipped,FBA,Amazon.com,Two-Day,CUST-01791,VA,Arlington,81770,US,USD,0.0,0.0,88.7
114-5140640-9087054,2025-01-04,09:40:50,Shipped,FBA,Amazon.com,Two-Day,CUST-00176,NJ,Trenton,28350,US,USD,0.0,0.0,55.67
114-5724673-6115634,2025-01-04,08:54:19,Canceled,FBA,Amazon.com,Standard,CUST-01474,NJ,Trenton,94833,US,USD,0.0,0.0,361.06
