sku,asin,product_title,effective_from,effective_to,price,currency,change_type
SKU-0001,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,2025-04-08,2026-07-31,89.73,USD,Launch Price
SKU-0002,B0MVKP1792,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2023-10-28,2025-02-17,67.82,USD,Launch Price
SKU-0002,B0MVKP1792,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-02-18,2026-07-31,63.85,USD,Promotional Discount
SKU-0003,B0NL5Q5CZM,EverPeak USB-C Hub — Water Resistant & HD 1080p,2024-12-19,2025-12-30,110.91,USD,Launch Price
SKU-0003,B0NL5Q5CZM,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-12-31,2026-01-31,103.75,USD,Promotional Discount
SKU-0003,B0NL5Q5CZM,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-02-01,2026-03-23,73.81,USD,Promotional Discount
SKU-0003,B0NL5Q5CZM,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-03-24,2026-07-31,103.75,USD,Price Increase
SKU-0004,B0ANDXF98K,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2024-08-03,2026-07-31,109.5,USD,Launch Price
SKU-0005,B055PLDLF8,BrightBeam Webcam — Compact Design & 30H Battery Life,2023-02-18,2026-07-31,40.21,USD,Launch Price
SKU-0006,B08H6XVAML,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-01-09,2025-12-30,88.7,USD,Launch Price
SKU-0006,B08H6XVAML,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-12-31,2026-07-31,81.06,USD,Promotional Discount
SKU-0007,B088K2QTZJ,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,2025-05-01,2026-07-31,52.27,USD,Launch Price
SKU-0008,B06AZNEH47,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-02-12,2026-07-31,75.67,USD,Launch Price
SKU-0009,B0H9GJQWK8,EverPeak Phone Case — Noise Cancelling & Bluetooth 5.3,2025-05-30,2026-07-31,23.15,USD,Launch Price
SKU-0010,B0M2QT36J4,AuroraTech Portable Charger — Fast Charging & HD 1080p,2024-11-20,2026-07-31,64.56,USD,Launch Price
SKU-0011,B0YXU5G7D1,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2024-07-07,2025-03-07,107.91,USD,Launch Price
SKU-0011,B0YXU5G7D1,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2025-03-08,2025-05-02,84.3,USD,Promotional Discount
SKU-0011,B0YXU5G7D1,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2025-05-03,2026-07-31,107.91,USD,Price Increase
SKU-0012,B0671R2A1G,EverPeak Laptop Stand — Water Resistant & 30H Battery Life,2025-01-05,2025-07-10,63.64,USD,Launch Price
SKU-0012,B0671R2A1G,EverPeak Laptop Stand — Water Resistant & 30H Battery Life,2025-07-11,2025-08-23,55.16,USD,Promotional Discount
SKU-0012,B0671R2A1G,EverPeak Laptop Stand — Water Resistant & 30H Battery Life,2025-08-24,2026-07-31,63.64,USD,Price Increase
