asin,sku,product_title,brand,category,subcategory,list_price,cost_per_unit,currency,weight_lb,length_in,width_in,height_in,date_added,status
B0R5E97R3C,SKU-0001,,AuroraTech,Electronics,Accessories,,,,0.93,7.9,7.4,4.3,2025-04-08,Active
B0MVKP1792,SKU-0002,,BrightBeam,Electronics,Wearables,,,,3.24,19.8,18.7,9.0,2023-10-28,Active
B0NL5Q5CZM,SKU-0003,,EverPeak,Electronics,Wearables,,,,1.37,10.9,9.5,6.9,2024-12-19,Active
B0ANDXF98K,SKU-0004,,AuroraTech,Electronics,Accessories,,,,1.52,9.4,8.4,4.4,2024-08-03,Active
B055PLDLF8,SKU-0005,,BrightBeam,Electronics,Audio,,,,1.88,11.6,10.1,4.0,2023-02-18,Active
B08H6XVAML,SKU-0006,,EverPeak,Electronics,Wearables,,,,1.63,11.6,8.7,4.2,2025-01-09,Active
B088K2QTZJ,SKU-0007,,AuroraTech,Electronics,Wearables,,,,3.27,23.1,15.0,11.3,2025-05-01,Active
B06AZNEH47,SKU-0008,,BrightBeam,Electronics,Accessories,,,,3.38,24.0,14.6,12.5,2025-02-12,Active
B0H9GJQWK8,SKU-0009,,EverPeak,Electronics,Smart Home,,,,0.96,9.4,8.7,3.5,2025-05-30,Active
B0M2QT36J4,SKU-0010,,AuroraTech,Electronics,Wearables,,,,1.74,13.4,9.5,5.4,2024-11-20,Active
B0YXU5G7D1,SKU-0011,,BrightBeam,Electronics,Smart Home,,,,0.52,5.7,3.4,2.6,2024-07-07,Active
B0671R2A1G,SKU-0012,,EverPeak,Electronics,Wearables,,,,3.48,23.1,14.4,11.6,2025-01-05,Active
B0K12NKA8N,SKU-0013,,AuroraTech,Electronics,Accessories,,,,0.98,6.4,4.5,2.9,2025-06-30,Active
B0279XVVC5,SKU-0014,,BrightBeam,Electronics,Accessories,,,,0.44,4.5,3.8,3.1,2024-07-30,Active
B0WR597BPU,SKU-0015,,EverPeak,Electronics,Smart Home,,,,2.39,18.1,12.7,12.0,2023-05-18,Active
B08RJE02WW,SKU-0016,,AuroraTech,Electronics,Audio,,,,0.35,3.4,3.2,1.8,2023-05-14,Active
B0CPNCKVZR,SKU-0017,,BrightBeam,Electronics,Wearables,,,,3.17,22.2,21.0,15.3,2025-05-31,Inactive
