review_id,asin,product_title,customer_id,marketplace,star_rating,review_headline,review_body,review_date,verified_purchase,vine_program,helpful_votes
RRX3HUD8G6D,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00723,US,5,Exactly as described,"Really impressed with the build quality of this smart plug. It arrived quickly, was packaged well, and does exactly what it promises. Excellent value.",2026-07-10,Y,N,20
RZWRMRND5DX,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00517,US,3,It's okay,Average smart plug. It does the job but there's nothing special about it. If you're on a budget it's acceptable.,2025-05-07,Y,N,8
RFX3MEMUD20,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00464,US,5,Exceeded my expectations,I've been using the smart plug for a few weeks now and it works great. Setup was easy and the quality feels solid. Would definitely recommend it to a friend.,2025-08-27,N,N,0
R7XEB9R8UFE,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00395,US,5,Exactly as described,This is my second smart plug from AuroraTech and they never disappoint. The materials feel premium and it performs flawlessly so far.,2025-04-06,Y,N,0
R9ZXQASX93U,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00807,US,5,"Five stars, would buy again",This is my second smart plug from AuroraTech and they never disappoint. The materials feel premium and it performs flawlessly so far.,2025-02-20,N,N,20
RQ8VX1V8CAX,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-01044,US,4,"Good, with minor nitpicks",Happy with this smart plug. Good quality for the money and it arrived on time. Taking one star off because the color is slightly different from the photos.,2025-09-01,N,N,0
R7NE0W41GZE,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00030,US,3,It's okay,"Mixed feelings about this smart plug. It works fine so far, but I'm not confident it will last long. Time will tell.",2025-08-11,Y,N,0
RJZP4W4YNLZ,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-01599,US,5,Love it!,I've been using the smart plug for a few weeks now and it works great. Setup was easy and the quality feels solid. Would definitely recommend it to a friend.,2025-01-24,Y,N,0
R373WFX27WV,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00601,US,5,Exactly as described,This is my second smart plug from AuroraTech and they never disappoint. The materials feel premium and it performs flawlessly so far.,2025-12-24,Y,N,3
RFBAT2U5Y7C,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,GUEST-69680,US,4,Solid quality,The smart plug is quite good overall. It works as expected and the price is fair. Only small thing is the instructions could be clearer.,2025-03-05,Y,N,0
RTXWDFZL5KT,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00044,US,5,Exceeded my expectations,"Really impressed with the build quality of this smart plug. It arrived quickly, was packaged well, and does exactly what it promises. Excellent value.",2025-09-19,Y,N,0
RXS14X80FE1,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,GUEST-21199,US,2,Disappointed,Not thrilled with this smart plug. It feels flimsy and the performance is inconsistent. I probably wouldn't buy from AuroraTech again.,2026-03-18,Y,N,1
RW3LSA7XZVY,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,GUEST-64391,US,1,Arrived damaged,This smart plug is a complete waste of money. It broke within days and the seller was unhelpful. Stay away from AuroraTech.,2026-01-16,Y,N,5
RBWLGW56XE7,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-01688,US,5,Exactly as described,I've been using the smart plug for a few weeks now and it works great. Setup was easy and the quality feels solid. Would definitely recommend it to a friend.,2026-03-02,Y,N,0
RZA83G39R8B,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,GUEST-73123,US,3,Average product,"Mixed feelings about this smart plug. It works fine so far, but I'm not confident it will last long. Time will tell.",2025-09-12,Y,N,0
R5HQ3CC0S14,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,GUEST-97286,US,5,Exactly as described,"Really impressed with the build quality of this smart plug. It arrived quickly, was packaged well, and does exactly what it promises. Excellent value.",2025-10-03,Y,N,2
RYSUUPWRB32,B0R5E97R3C,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,CUST-00334,US,2,Would not recommend,Not thrilled with this smart plug. It feels flimsy and the performance is inconsistent. I probably wouldn't buy from AuroraTech again.,2025-02-11,N,N,3
