asin,month,sessions,page_views,units_ordered,buy_box_percentage
B0R5E97R3C,2025-01,17,25,2,0.86
B0R5E97R3C,2025-02,66,100,9,0.88
B0R5E97R3C,2025-03,39,60,6,0.97
B0R5E97R3C,2025-04,96,140,13,0.91
B0R5E97R3C,2025-05,83,106,10,0.97
B0R5E97R3C,2025-06,17,23,2,0.97
B0R5E97R3C,2025-07,59,84,7,0.94
B0R5E97R3C,2025-08,59,82,7,0.97
B0R5E97R3C,2025-09,37,55,5,0.92
B0R5E97R3C,2025-10,53,71,6,0.97
B0R5E97R3C,2025-11,56,78,8,0.98
B0R5E97R3C,2025-12,98,144,12,0.91
B0R5E97R3C,2026-01,53,80,6,0.92
B0R5E97R3C,2026-02,75,114,10,0.89
B0R5E97R3C,2026-03,52,68,8,0.96
B0R5E97R3C,2026-04,35,44,4,0.97
B0R5E97R3C,2026-05,60,71,8,0.91
B0R5E97R3C,2026-06,55,80,7,0.98
B0MVKP1792,2025-01,83,105,12,0.88
B0MVKP1792,2025-02,42,49,7,0.88
B0MVKP1792,2025-03,7,10,1,0.94
B0MVKP1792,2025-04,24,31,4,0.93
B0MVKP1792,2025-05,21,32,3,0.89
B0MVKP1792,2025-06,63,77,8,0.87
B0MVKP1792,2025-07,47,61,6,0.94
B0MVKP1792,2025-08,29,44,4,0.87
B0MVKP1792,2025-09,72,106,10,0.95
B0MVKP1792,2025-10,21,26,3,0.9
B0MVKP1792,2025-11,53,66,8,0.9
B0MVKP1792,2025-12,72,91,11,0.99
B0MVKP1792,2026-01,24,34,4,0.91
B0MVKP1792,2026-02,49,71,6,0.99
B0MVKP1792,2026-03,29,42,4,0.97
B0MVKP1792,2026-04,39,56,5,0.93
B0MVKP1792,2026-05,24,32,4,0.94
B0MVKP1792,2026-06,15,21,2,0.96
B0NL5Q5CZM,2025-01,45,64,5,0.88
B0NL5Q5CZM,2025-02,59,78,6,1.0
B0NL5Q5CZM,2025-03,19,28,2,0.93
B0NL5Q5CZM,2025-04,40,49,5,0.91
B0NL5Q5CZM,2025-05,55,75,6,0.9
B0NL5Q5CZM,2025-06,145,208,14,0.9
B0NL5Q5CZM,2025-07,91,138,9,0.89
B0NL5Q5CZM,2025-08,53,74,5,0.98
B0NL5Q5CZM,2025-09,83,119,10,0.87
B0NL5Q5CZM,2025-10,87,127,9,0.98
B0NL5Q5CZM,2025-11,92,128,9,0.95
B0NL5Q5CZM,2025-12,91,127,11,0.91
B0NL5Q5CZM,2026-01,127,167,12,0.98
B0NL5Q5CZM,2026-02,56,74,6,0.98
B0NL5Q5CZM,2026-03,60,74,6,0.9
B0NL5Q5CZM,2026-04,78,101,8,0.97
B0NL5Q5CZM,2026-05,51,73,6,0.92
B0NL5Q5CZM,2026-06,131,181,14,0.88
B0ANDXF98K,2025-01,145,202,0,0.97
B0ANDXF98K,2025-02,96,133,6,0.87
B0ANDXF98K,2025-03,110,157,6,0.89
B0ANDXF98K,2025-04,154,188,10,0.88
B0ANDXF98K,2025-05,14,18,1,0.93
B0ANDXF98K,2025-06,173,253,10,0.95
B0ANDXF98K,2025-07,153,193,10,0.92
B0ANDXF98K,2025-08,97,115,6,0.92
B0ANDXF98K,2025-09,76,104,4,0.96
B0ANDXF98K,2025-10,98,118,6,0.92
B0ANDXF98K,2025-11,225,287,12,0.99
B0ANDXF98K,2025-12,245,304,14,0.94
B0ANDXF98K,2026-01,120,145,7,0.96
B0ANDXF98K,2026-02,117,164,0,1.0
B0ANDXF98K,2026-03,161,204,9,0.87
B0ANDXF98K,2026-04,162,189,11,0.97
B0ANDXF98K,2026-05,255,354,16,0.98
B0ANDXF98K,2026-06,98,135,6,0.99
B055PLDLF8,2025-01,168,231,8,0.88
B055PLDLF8,2025-02,123,150,6,0.98
B055PLDLF8,2025-03,148,185,9,0.97
B055PLDLF8,2025-04,195,268,10,0.95
B055PLDLF8,2025-05,66,89,4,0.9
B055PLDLF8,2025-06,155,194,7,0.87
B055PLDLF8,2025-07,64,93,4,0.93
B055PLDLF8,2025-08,168,243,10,0.89
B055PLDLF8,2025-09,221,280,10,0.97
B055PLDLF8,2025-10,109,131,5,0.93
B055PLDLF8,2025-11,129,158,7,0.87
B055PLDLF8,2025-12,254,324,14,0.97
B055PLDLF8,2026-01,110,135,6,0.92
B055PLDLF8,2026-02,166,225,10,0.87
B055PLDLF8,2026-03,151,229,7,0.88
B055PLDLF8,2026-04,82,109,5,0.9
B055PLDLF8,2026-05,95,111,5,0.98
B055PLDLF8,2026-06,152,232,8,0.89
B08H6XVAML,2025-01,268,319,11,1.0
B08H6XVAML,2025-02,207,314,8,0.96
B08H6XVAML,2025-03,283,391,11,0.97
B08H6XVAML,2025-04,308,374,14,1.0
